		2019-10-19 07:31:12 A significant and crucial thread about Ms.
Tulsi Gabbard	PERSON	on #Russia and his affiliation to ## RSS / #BJP #Modi -- which ... https://t.co/vVcGwZtOrb2019-10-19 07:31:09 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		... 2019-10-19 07:30:58 @PChidambaram_IN Sir PC , please , common man is not interested in your tweets .

		Fed up of corruption in
India	LOCATION	.

		As our ... https://t.co/t1pN7fTxQy2019-10-19 07:30:57 @tctithi414 Sad .

		#Modi does n't care .

		#BJP is a heartless party.2019-10-19 07:30:53 @PChidambaram_IN @INCIndia Sir PC , please , common man is not interested in your tweets .

		Fed up of corruption in Ind ... https://t.co/Alvr0XX6tO2019-10-19 07:29:34 Indians threaten because they have nothing to say in self defense .

		They ca n't defend the decisions taken by their c ... https://t.co/GhtJgdHr0H2019-10-19 07:29:13 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		... 2019-10-19 07:28:56 RT @FriedrichPieter : Is #TulsiGabbard a #RussianAsset like @HillaryClinton suggests ?

		I know one thing for sure .

		Her congressional career wa ... 2019-10-19 07:28:31 RT @abhi21000 : #Fasanvis gov has only helped the businessman friends of #Modi Ji !

		He has nothing to do with the farmers or the issues of ru ... 2019-10-19 07:27:32 RT @FriedrichPieter : Is #TulsiGabbard a #RussianAsset like @HillaryClinton suggests ?

		I know one thing for sure .

		Her congressional career wa ... 2019-10-19 07:27:27 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		... 2019-10-19 07:27:09 RT @AbdullahQamarr : Hats off to a brave Indian girl , speaks against #Modi 's extremist ideology and its dreadful consequences .

		https://t.câ€¦2019-10-19 07:26:56 PM #Modi : Determined to stop river flow to #Pakistan #HaryanaAssemblyPolls #MaharashtraAssemblyPolls ... https://t.co/64UUwHZkrX2019-10-19 07:26:41 RT @FriedrichPieter : Is #TulsiGabbard a #RussianAsset like @HillaryClinton suggests ?

		I know one thing for sure .

		Her congressional career wa ... 2019-10-19 07:26:40 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		... 2019-10-19 07:26:21 Difference Between #ManmohanSingh and #Modi in handling Indian #Economy https://t.co/ps1RRFSjhV2019-10-19 07:26:13 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		... 2019-10-19 07:25:13 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		... 2019-10-19 07:25:10 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		... 2019-10-19 07:24:45 RT @Turkey_Istambul : Hats-off to
Aninya	LOCATION	a brave Indian girl speaking against #Modi 's hindutva-regime and mob lynching of Muslims in
India	LOCATION	!

		...

